"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","oli",1,2,"oli",6.95204544067383,4.91045713424683,7.43047523498535,"oli",479.658536585366,213.146341463415,177.292682926829,"-1",31542336,"ee","none",178363,12.092,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","vanarooma",1,3,"vanarooma",7.39691108465195,6.50638818740845,8.28390407562256,"vanarooma",1082.87804878049,385.609756097561,193.609756097561,"-1",31542336,"ee","none",57,4.043,9,6.95204544067383,NA,178363,NA,3,NA,4.91045713424683,NA,7.43047523498535,NA,1,NA
"3","religioonis",1,4,"religioonis",11.8354315757751,4.23942375183105,6.90004682540894,"religioonis",721.439024390244,388.317073170732,228.341463414634,"-1",31542336,"ee","none",21,3.045,11,7.39691108465195,6.95204544067383,57,178363,9,3,6.50638818740845,4.91045713424683,8.28390407562256,7.43047523498535,1,1
"4","ja",1,5,"ja",3.0349006652832,6.07345676422119,7.89467334747314,"ja",48.4146341463415,44.0731707317073,44.0731707317073,"-1",31542336,"ee","none",568975,13.252,2,11.8354315757751,7.39691108465195,21,57,11,9,4.23942375183105,6.50638818740845,6.90004682540894,8.28390407562256,1,1
"5","mütoloogias",1,6,"mütoloogias",6.30789375305176,6.17661046981812,7.8602442741394,"mütoloogias",671.09756097561,425.243902439024,239.317073170732,"-1",31542336,"ee","none",320,5.768,11,3.0349006652832,11.8354315757751,568975,21,2,11,6.07345676422119,4.23942375183105,7.89467334747314,6.90004682540894,1,1
"6","alguste",1,7,"alguste",20.1520471572876,6.23602676391602,7.98156404495239,"alguste",974.317073170732,437.560975609756,290.341463414634,"-1",31542336,"ee","none",3,1.099,7,6.30789375305176,3.0349006652832,320,568975,11,2,6.17661046981812,6.07345676422119,7.8602442741394,7.89467334747314,1,1
"7","ja",1,8,"ja",2.3310215473175,4.85026264190674,7.49105882644653,"ja",104.585365853659,74.1219512195122,74.1219512195122,"-1",31542336,"ee","none",568975,13.252,2,20.1520471572876,6.30789375305176,3,320,7,11,6.23602676391602,6.17661046981812,7.98156404495239,7.8602442741394,1,1
"8","väravate",1,9,"väravate",10.582057364285,6.04305934906006,8.03866195678711,"väravate",990.756097560976,421.024390243902,228.609756097561,"-1",31542336,"ee","none",176,5.17,8,2.3310215473175,20.1520471572876,568975,3,2,7,4.85026264190674,6.23602676391602,7.49105882644653,7.98156404495239,1,1
"9","jumal",1,10,"jumal.",5.05974197387695,6.07277631759644,7.84895610809326,"jumal.",321.658536585366,217.292682926829,205.439024390244,"-1",31542336,"ee","none",215,5.371,5,10.582057364285,2.3310215473175,176,568975,8,2,6.04305934906006,4.85026264190674,8.03866195678711,7.49105882644653,1,1
"10","Janus",1,11,"Janus",2.93842914700508,4.61894273757935,7.35259437561035,"Janus",421.829268292683,268.439024390244,252.317073170732,"-1",31542336,"ee","none",33,3.497,5,5.05974197387695,10.582057364285,215,176,5,8,6.07277631759644,6.04305934906006,7.84895610809326,8.03866195678711,1,1
"11","oli",1,12,"oli",0.747286021709442,3.16559600830078,6.26122283935547,"oli",191.951219512195,152.682926829268,148.390243902439,"-1",31542336,"ee","none",178363,12.092,3,2.93842914700508,5.05974197387695,33,215,5,5,4.61894273757935,6.07277631759644,7.35259437561035,7.84895610809326,1,1
"12","ning",1,14,"ning",3.76493358612061,5.03720188140869,7.31820583343506,"ning",214.048780487805,173.560975609756,164.121951219512,"-1",31542336,"ee","none",117286,11.672,4,0.747286021709442,2.93842914700508,178363,33,3,5,3.16559600830078,4.61894273757935,6.26122283935547,7.35259437561035,1,1
"13","tavaliselt",1,15,"tavaliselt",9.10497951507568,5.7486834526062,8.00177574157715,"tavaliselt",501.463414634146,349.731707317073,231.09756097561,"-1",31542336,"ee","none",6676,8.806,10,3.76493358612061,0.747286021709442,117286,178363,4,3,5.03720188140869,3.16559600830078,7.31820583343506,6.26122283935547,1,1
"14","kujutati",1,16,"kujutati",4.0804648399353,5.80451011657715,7.91743183135986,"kujutati",691.146341463415,307.512195121951,224.682926829268,"-1",31542336,"ee","none",212,5.357,8,9.10497951507568,3.76493358612061,6676,117286,10,4,5.7486834526062,5.03720188140869,8.00177574157715,7.31820583343506,1,1
"15","teda",1,17,"teda",0.642496705055237,3.44371247291565,7.12221336364746,"teda",409.219512195122,184.90243902439,169.634146341463,"-1",31542336,"ee","none",8422,9.039,4,4.0804648399353,9.10497951507568,212,6676,8,10,5.80451011657715,5.7486834526062,7.91743183135986,8.00177574157715,1,1
"16","kahe",1,18,"kahe",4.69512319564819,6.88325786590576,8.24750137329102,"kahe",419.731707317073,222.292682926829,208.80487804878,"-1",31542336,"ee","none",5481,8.609,4,0.642496705055237,4.0804648399353,8422,212,4,8,3.44371247291565,5.80451011657715,7.12221336364746,7.91743183135986,1,1
