"","clean_word","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","model_size","lang","taint","freq","log_freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","roomalaisen",1,2,"roomalaisen",5.30891335010529,3.3462347984314,7.13200616836548,"roomalaisen",637.617021276596,271.31914893617,183.021276595745,"-1",89301621,"fi","none",525,6.263,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","mytologian",1,3,"mytologian",2.94147105421871,5.09383487701416,7.2880277633667,"mytologian",470.978723404255,312.595744680851,248.191489361702,"-1",89301621,"fi","none",442,6.091,10,5.30891335010529,NA,525,NA,11,NA,3.3462347984314,NA,7.13200616836548,NA,1,NA
"3","mukaan",1,4,"mukaan",0.802982568740845,4.37182140350342,7.64011907577515,"mukaan",252.382978723404,199.425531914894,190.893617021277,"-1",89301621,"fi","none",79686,11.286,6,2.94147105421871,5.30891335010529,442,525,10,11,5.09383487701416,3.3462347984314,7.2880277633667,7.13200616836548,1,1
"4","Janus",1,5,"Janus",9.71978545188904,7.30877828598022,8.50158214569092,"Janus",388.723404255319,264.659574468085,226.042553191489,"-1",89301621,"fi","none",74,4.304,5,0.802982568740845,2.94147105421871,79686,442,6,10,4.37182140350342,5.09383487701416,7.64011907577515,7.2880277633667,1,1
"5","oli",1,6,"oli",1.17308926582336,4.54638767242432,7.51533222198486,"oli",180.510638297872,152.297872340426,148.170212765957,"-1",89301621,"fi","none",555324,13.227,3,9.71978545188904,0.802982568740845,74,79686,5,6,7.30877828598022,4.37182140350342,8.50158214569092,7.64011907577515,1,1
"6","alkujen",1,7,"alkujen",15.7110848426819,6.66425800323486,8.23327255249023,"alkujen",926.234042553191,391.574468085106,252.276595744681,"-1",89301621,"fi","none",4,1.386,7,1.17308926582336,9.71978545188904,555324,74,3,5,4.54638767242432,7.30877828598022,7.51533222198486,8.50158214569092,1,1
"7","ja",1,8,"ja",2.97368383407593,5.13036632537842,7.90029335021973,"ja",57.6595744680851,52.4042553191489,52.4042553191489,"-1",89301621,"fi","none",1896017,14.455,2,15.7110848426819,1.17308926582336,4,555324,7,3,6.66425800323486,4.54638767242432,8.23327255249023,7.51533222198486,1,1
"8","porttien",1,9,"porttien",11.9743953943253,5.98412895202637,7.85881662368774,"porttien",849,413,259.297872340426,"-1",89301621,"fi","none",100,4.605,8,2.97368383407593,15.7110848426819,1896017,4,2,7,5.13036632537842,6.66425800323486,7.90029335021973,8.23327255249023,1,1
"9","jumala",1,10,"jumala.",3.01678669452667,5.39634656906128,7.57411336898804,"jumala.",336.765957446808,200.808510638298,175.063829787234,"-1",89301621,"fi","none",566,6.339,6,11.9743953943253,2.97368383407593,100,1896017,8,2,5.98412895202637,5.13036632537842,7.85881662368774,7.90029335021973,1,1
"10","Hän",1,11,"Hän",1.76483404636383,5.11378049850464,7.36100149154663,"Hän",82.936170212766,65.3617021276596,65.3617021276596,"-1",89301621,"fi","none",200149,12.207,3,3.01678669452667,11.9743953943253,566,100,6,8,5.39634656906128,5.98412895202637,7.57411336898804,7.85881662368774,1,1
"11","oli",1,12,"oli",0.545551002025604,2.79867506027222,6.11459302902222,"oli",188.063829787234,161.085106382979,161.085106382979,"-1",89301621,"fi","none",555324,13.227,3,1.76483404636383,3.01678669452667,200149,566,3,6,5.11378049850464,5.39634656906128,7.36100149154663,7.57411336898804,1,1
"12","ja",1,14,"ja",1.63308882713318,4.21814441680908,7.10799694061279,"ja",14.8085106382979,14.8085106382979,14.8085106382979,"-1",89301621,"fi","none",1896017,14.455,2,0.545551002025604,1.76483404636383,555324,200149,3,3,2.79867506027222,5.11378049850464,6.11459302902222,7.36100149154663,1,1
"13","hänet",1,15,"hänet",5.35713815689087,6.21098709106445,8.08752250671387,"hänet",290.723404255319,241.148936170213,210.723404255319,"-1",89301621,"fi","none",42721,10.662,5,1.63308882713318,0.545551002025604,1896017,555324,2,3,4.21814441680908,2.79867506027222,7.10799694061279,6.11459302902222,1,1
"14","kuvattiin",1,16,"kuvattiin",2.75597429275513,4.19365644454956,6.66425323486328,"kuvattiin",322.170212765957,246.425531914894,183.170212765957,"-1",89301621,"fi","none",2739,7.915,9,5.35713815689087,1.63308882713318,42721,1896017,5,2,6.21098709106445,4.21814441680908,8.08752250671387,7.10799694061279,1,1
"15","usein",1,17,"usein",3.40400457382202,6.97780895233154,8.29761505126953,"usein",256.127659574468,158.425531914894,146.212765957447,"-1",89301621,"fi","none",29157,10.28,5,2.75597429275513,5.35713815689087,2739,42721,9,5,4.19365644454956,6.21098709106445,6.66425323486328,8.08752250671387,1,1
"16","kaksin",1,18,"kaksin",10.2621922492981,6.88916444778442,8.25891590118408,"kaksin",443.765957446808,243.085106382979,209.659574468085,"-1",89301621,"fi","none",63,4.143,6,3.40400457382202,2.75597429275513,29157,2739,5,9,6.97780895233154,4.19365644454956,8.29761505126953,6.66425323486328,1,1
"17","kasvoin",1,19,"kasvoin,",10.1326992511749,4.85380887985229,7.4454870223999,"kasvoin,",448.297872340426,304.872340425532,257.808510638298,"-1",89301621,"fi","none",6,1.792,7,10.2621922492981,3.40400457382202,63,29157,6,5,6.88916444778442,6.97780895233154,8.25891590118408,8.29761505126953,1,1
