"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","is","du",1,2,"is",4.46711254119873,6.194091796875,8.09778785705566,"is",381.142857142857,254.857142857143,212.821428571429,"taint_none",7.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","in","du",1,3,"in",3.56507635116577,3.06294298171997,6.99998426437378,"in",415.464285714286,254.142857142857,235,"taint_none",7.36,2,4.46711254119873,NA,7.2,NA,2,NA,6.194091796875,NA,8.09778785705566,NA,1,NA
"3","de","du",1,4,"de",1.15261805057526,4.32240390777588,7.39534568786621,"de",279.178571428571,153.928571428571,142.285714285714,"taint_none",7.73,2,3.56507635116577,4.46711254119873,7.36,7.2,2,2,3.06294298171997,6.194091796875,6.99998426437378,8.09778785705566,1,1
"4","oude","du",1,5,"oude",6.03321218490601,6.03223323822021,7.96363210678101,"oude",274.5,160.607142857143,155.285714285714,"taint_none",5.51,4,1.15261805057526,3.56507635116577,7.73,7.36,2,2,4.32240390777588,3.06294298171997,7.39534568786621,6.99998426437378,1,1
"5","Romeinse","du",1,6,"Romeinse",2.86852765083313,5.17901086807251,7.50340938568115,"Romeinse",545.035714285714,209.107142857143,184.642857142857,"taint_none",4.07,8,6.03321218490601,1.15261805057526,5.51,7.73,4,2,6.03223323822021,4.32240390777588,7.96363210678101,7.39534568786621,1,1
"6","religie","du",1,7,"religie",6.13183927536011,2.98619890213013,6.13161563873291,"religie",515.821428571429,274.785714285714,222.892857142857,"taint_none",4.45,7,2.86852765083313,6.03321218490601,4.07,5.51,8,4,5.17901086807251,6.03223323822021,7.50340938568115,7.96363210678101,1,1
"7","en","du",1,8,"en",3.38087272644043,4.75194263458252,7.26812505722046,"en",127.214285714286,103.321428571429,90.2142857142857,"taint_none",7.4,2,6.13183927536011,2.86852765083313,4.45,4.07,7,8,2.98619890213013,5.17901086807251,6.13161563873291,7.50340938568115,1,1
"8","mythes","du",1,9,"mythes",11.0082099437714,5.1434211730957,7.65861892700195,"mythes",595.107142857143,319.428571428571,264.321428571429,"taint_none",3.17,6,3.38087272644043,6.13183927536011,7.4,4.45,2,7,4.75194263458252,2.98619890213013,7.26812505722046,6.13161563873291,1,1
"9","de","du",1,10,"de",2.56654787063599,5.05974197387695,7.13551092147827,"de",130.321428571429,90.2857142857143,90.2857142857143,"taint_none",7.73,2,11.0082099437714,3.38087272644043,3.17,7.4,6,2,5.1434211730957,4.75194263458252,7.65861892700195,7.26812505722046,1,1
"10","god","du",1,11,"god",3.13867950439453,5.34057807922363,7.65007972717285,"god",356.571428571429,264.214285714286,260.321428571429,"taint_none",5.18,3,2.56654787063599,11.0082099437714,7.73,3.17,2,6,5.05974197387695,5.1434211730957,7.13551092147827,7.65861892700195,1,1
"11","van","du",1,12,"van",0.366784542798996,1.82470703125,5.77432346343994,"van",231.107142857143,162.142857142857,157.785714285714,"taint_none",7.51,3,3.13867950439453,2.56654787063599,5.18,7.73,3,2,5.34057807922363,5.05974197387695,7.65007972717285,7.13551092147827,1,1
"12","het","du",1,13,"het",1.40773892402649,2.44969296455383,6.76919794082642,"het",381.178571428571,219.392857142857,214.428571428571,"taint_none",7.49,3,0.366784542798996,3.13867950439453,7.51,5.18,3,3,1.82470703125,5.34057807922363,5.77432346343994,7.65007972717285,1,1
"13","begin","du",1,14,"begin",7.53683567047119,5.75409507751465,7.79474687576294,"begin",542.392857142857,224.714285714286,209.571428571429,"taint_none",5.42,5,1.40773892402649,0.366784542798996,7.49,7.51,3,3,2.44969296455383,1.82470703125,6.76919794082642,5.77432346343994,1,1
"14","en","du",1,15,"en",2.17082214355469,1.69908630847931,4.46632862091064,"en",220.357142857143,153.25,146.464285714286,"taint_none",7.4,2,7.53683567047119,1.40773892402649,5.42,7.49,5,3,5.75409507751465,2.44969296455383,7.79474687576294,6.76919794082642,1,1
"15","van","du",1,16,"van",5.79699468612671,3.06914329528809,6.3405294418335,"van",441.178571428571,250.571428571429,214.678571428571,"taint_none",7.51,3,2.17082214355469,7.53683567047119,7.4,5.42,2,5,1.69908630847931,5.75409507751465,4.46632862091064,7.79474687576294,1,1
"16","poorten","du",1,17,"poorten.",15.4327116012573,1.70107853412628,6.03803253173828,"poorten.",716.392857142857,284.571428571429,209.464285714286,"taint_none",3.91,7,5.79699468612671,2.17082214355469,7.51,7.4,3,2,3.06914329528809,1.69908630847931,6.3405294418335,4.46632862091064,1,1
"17","Hij","du",1,18,"Hij",1.78331875801086,3.94993352890015,6.64193820953369,"Hij",122,111.5,111.5,"taint_none",6.7,3,15.4327116012573,5.79699468612671,3.91,7.51,7,3,1.70107853412628,3.06914329528809,6.03803253173828,6.3405294418335,1,1
"18","heeft","du",1,19,"heeft",3.84914827346802,4.23461961746216,6.58168935775757,"heeft",365.464285714286,281.678571428571,240.178571428571,"taint_none",6.56,5,1.78331875801086,15.4327116012573,6.7,3.91,3,7,3.94993352890015,1.70107853412628,6.64193820953369,6.03803253173828,1,1
"19","een","du",1,20,"een",2.07402324676514,4.71280574798584,7.24949216842651,"een",237.678571428571,186.535714285714,151.785714285714,"taint_none",7.41,3,3.84914827346802,1.78331875801086,6.56,6.7,5,3,4.23461961746216,3.94993352890015,6.58168935775757,6.64193820953369,1,1
"20","dubbele","du",1,21,"dubbele",6.21556091308594,6.63374805450439,8.20820426940918,"dubbele",269.142857142857,185.5,175.571428571429,"taint_none",4.59,7,2.07402324676514,3.84914827346802,7.41,6.56,3,5,4.71280574798584,4.23461961746216,7.24949216842651,6.58168935775757,1,1
"21","aard","du",1,22,"aard",8.42501258850098,5.2156229019165,7.62545394897461,"aard",259.428571428571,216.928571428571,209.821428571429,"taint_none",4.39,4,6.21556091308594,2.07402324676514,4.59,7.41,7,3,6.63374805450439,4.71280574798584,8.20820426940918,7.24949216842651,1,1
"22","en","du",1,23,"en",1.78163504600525,3.36554908752441,6.24418973922729,"en",203.714285714286,179.464285714286,141.928571428571,"taint_none",7.4,2,8.42501258850098,6.21556091308594,4.39,4.59,4,7,5.2156229019165,6.63374805450439,7.62545394897461,8.20820426940918,1,1
"23","wordt","du",1,24,"wordt",3.49959373474121,5.19299077987671,7.70024013519287,"wordt",388.464285714286,178.464285714286,170.928571428571,"taint_none",6.39,5,1.78163504600525,8.42501258850098,7.4,4.39,2,4,3.36554908752441,5.2156229019165,6.24418973922729,7.62545394897461,1,1
"24","meestal","du",1,25,"meestal",4.60284852981567,4.82857608795166,7.06210517883301,"meestal",321.857142857143,188.964285714286,188.964285714286,"taint_none",5.1,7,3.49959373474121,1.78163504600525,6.39,7.4,5,2,5.19299077987671,3.36554908752441,7.70024013519287,6.24418973922729,1,1
"25","voorgesteld","du",1,26,"voorgesteld",4.28127002716064,4.72184419631958,7.08742713928223,"voorgesteld",399.035714285714,253.321428571429,195.892857142857,"taint_none",4.34,11,4.60284852981567,3.49959373474121,5.1,6.39,7,5,4.82857608795166,5.19299077987671,7.06210517883301,7.70024013519287,1,1
"26","met","du",1,27,"met",3.40187335014343,0.777593493461609,3.53208017349243,"met",137.714285714286,103.178571428571,93.5,"taint_none",7,3,4.28127002716064,4.60284852981567,4.34,5.1,11,7,4.72184419631958,4.82857608795166,7.08742713928223,7.06210517883301,1,1
"27","twee","du",1,28,"twee",3.89974689483643,4.58865594863892,7.71225357055664,"twee",268.607142857143,196.928571428571,185.607142857143,"taint_none",6.06,4,3.40187335014343,4.28127002716064,7,4.34,3,11,0.777593493461609,4.72184419631958,3.53208017349243,7.08742713928223,1,1
"28","gezichten","du",1,29,"gezichten,",5.78816023468971,6.53025341033936,8.05582523345947,"gezichten,",390.464285714286,228.857142857143,196.392857142857,"taint_none",4.24,9,3.89974689483643,3.40187335014343,6.06,7,4,3,4.58865594863892,0.777593493461609,7.71225357055664,3.53208017349243,1,1
"29","omdat","du",1,30,"omdat",7.47374820709229,5.05850172042847,7.30960321426392,"omdat",215.714285714286,198.178571428571,173.178571428571,"taint_none",5.95,5,5.78816023468971,3.89974689483643,4.24,6.06,9,4,6.53025341033936,4.58865594863892,8.05582523345947,7.71225357055664,1,1
"30","hij","du",1,31,"hij",0.753752827644348,2.44308137893677,5.96873378753662,"hij",175.928571428571,147.892857142857,128.714285714286,"taint_none",6.7,3,7.47374820709229,5.78816023468971,5.95,4.24,5,9,5.05850172042847,6.53025341033936,7.30960321426392,8.05582523345947,1,1
"31","zowel","du",1,32,"zowel",5.3974494934082,5.41942691802979,7.49468088150024,"zowel",261.357142857143,179.535714285714,161.607142857143,"taint_none",5.36,5,0.753752827644348,7.47374820709229,6.7,5.95,3,5,2.44308137893677,5.05850172042847,5.96873378753662,7.30960321426392,1,1
"32","naar","du",1,33,"naar",5.15110015869141,5.08014297485352,7.52507019042969,"naar",152.035714285714,140.428571428571,119.607142857143,"taint_none",6.65,4,5.3974494934082,0.753752827644348,5.36,6.7,5,3,5.41942691802979,2.44308137893677,7.49468088150024,5.96873378753662,1,1
"33","de","du",1,34,"de",1.21224737167358,3.25664186477661,6.78093862533569,"de",61.2857142857143,55.2142857142857,55.2142857142857,"taint_none",7.73,2,5.15110015869141,5.3974494934082,6.65,5.36,4,5,5.08014297485352,5.41942691802979,7.52507019042969,7.49468088150024,1,1
"34","toekomst","du",1,35,"toekomst",8.63770389556885,5.97714614868164,7.93037033081055,"toekomst",279.642857142857,220.285714285714,210.892857142857,"taint_none",5.21,8,1.21224737167358,5.15110015869141,7.73,6.65,2,4,3.25664186477661,5.08014297485352,6.78093862533569,7.52507019042969,1,1
"35","als","du",1,36,"als",0.241908729076385,1.4437997341156,5.39744234085083,"als",81,72.6785714285714,66.25,"taint_none",6.8,3,8.63770389556885,1.21224737167358,5.21,7.73,8,2,5.97714614868164,3.25664186477661,7.93037033081055,6.78093862533569,1,1
"36","naar","du",1,37,"naar",0.201000586152077,1.18827378749847,5.10120534896851,"naar",258.035714285714,238.607142857143,221.142857142857,"taint_none",6.65,4,0.241908729076385,8.63770389556885,6.8,5.21,3,8,1.4437997341156,5.97714614868164,5.39744234085083,7.93037033081055,1,1
"37","het","du",1,38,"het",2.03153824806213,2.27558517456055,6.47532796859741,"het",81.8571428571429,69.8214285714286,59,"taint_none",7.49,3,0.201000586152077,0.241908729076385,6.65,6.8,4,3,1.18827378749847,1.4437997341156,5.10120534896851,5.39744234085083,1,1
"38","verleden","du",1,39,"verleden",0.59214174747467,1.96945798397064,5.97439479827881,"verleden",360.535714285714,295.214285714286,253.321428571429,"taint_none",4.93,8,2.03153824806213,0.201000586152077,7.49,6.65,3,4,2.27558517456055,1.18827378749847,6.47532796859741,5.10120534896851,1,1
"39","kijkt","du",1,40,"kijkt.",3.49911895394325,4.17428874969482,6.44087839126587,"kijkt.",294.214285714286,149.035714285714,149.035714285714,"taint_none",4.91,5,0.59214174747467,2.03153824806213,4.93,7.49,8,3,1.96945798397064,2.27558517456055,5.97439479827881,6.47532796859741,1,1
"40","Janus","du",1,41,"Janus",2.62253886088729,3.87976813316345,6.36671447753906,"Janus",291.178571428571,238.678571428571,214.607142857143,"taint_none",3.19,5,3.49911895394325,0.59214174747467,4.91,4.93,5,8,4.17428874969482,1.96945798397064,6.44087839126587,5.97439479827881,1,1
"41","overzag","du",1,42,"overzag",14.4721698760986,3.28270673751831,6.42158985137939,"overzag",422.571428571429,226.964285714286,201.178571428571,"taint_none",2.24,7,2.62253886088729,3.49911895394325,3.19,4.91,5,5,3.87976813316345,4.17428874969482,6.36671447753906,6.44087839126587,1,1
"42","het","du",1,43,"het",2.76281356811523,3.89284563064575,6.96506595611572,"het",242.142857142857,170.071428571429,170.071428571429,"taint_none",7.49,3,14.4721698760986,2.62253886088729,2.24,3.19,7,5,3.28270673751831,3.87976813316345,6.42158985137939,6.36671447753906,1,1
"43","begin","du",1,44,"begin",5.82988405227661,5.47369384765625,7.71950006484985,"begin",372.357142857143,229.964285714286,203.142857142857,"taint_none",5.42,5,2.76281356811523,14.4721698760986,7.49,2.24,3,7,3.89284563064575,3.28270673751831,6.96506595611572,6.42158985137939,1,1
"44","en","du",1,45,"en",1.5348641872406,1.49220240116119,5.06094217300415,"en",112.071428571429,99.5,99.5,"taint_none",7.4,2,5.82988405227661,2.76281356811523,5.42,7.49,5,3,5.47369384765625,3.89284563064575,7.71950006484985,6.96506595611572,1,1
