"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","ancient","en",1,2,"ancient",6.24505615234375,6.00617980957031,8.0883092880249,"ancient",615.368421052632,322.394736842105,204.263157894737,"taint_none",4.68,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Roman","en",1,3,"Roman",4.8815450668335,2.80168151855469,6.78725433349609,"Roman",516.605263157895,258.131578947368,196.131578947368,"taint_none",4.5,5,6.24505615234375,NA,4.68,NA,7,NA,6.00617980957031,NA,8.0883092880249,NA,1,NA
"3","religion","en",1,4,"religion",6.89721632003784,1.4597293138504,5.86840486526489,"religion",683.684210526316,298.078947368421,225.973684210526,"taint_none",4.74,8,4.8815450668335,6.24505615234375,4.5,4.68,5,7,2.80168151855469,6.00617980957031,6.78725433349609,8.0883092880249,1,1
"4","and","en",1,5,"and",4.63982582092285,1.26086437702179,5.55528020858765,"and",172.552631578947,129.868421052632,122.105263157895,"taint_none",7.41,3,6.89721632003784,4.8815450668335,4.74,4.5,8,5,1.4597293138504,2.80168151855469,5.86840486526489,6.78725433349609,1,1
"5","myth","en",1,6,"myth,",6.9059716463089,5.55406093597412,7.70689868927002,"myth,",496.263157894737,279.131578947368,258.210526315789,"taint_none",4.08,4,4.63982582092285,6.89721632003784,7.41,4.74,3,8,1.26086437702179,1.4597293138504,5.55528020858765,5.86840486526489,1,1
"6","Janus","en",1,7,"Janus",10.978262424469,5.38253736495972,7.98006534576416,"Janus",580.684210526316,310.473684210526,241.473684210526,"taint_none",3.02,5,6.9059716463089,4.63982582092285,4.08,7.41,4,3,5.55406093597412,1.26086437702179,7.70689868927002,5.55528020858765,1,1
"7","is","en",1,8,"is",2.48240256309509,5.486647605896,7.90455770492554,"is",200.552631578947,142.526315789474,142.526315789474,"taint_none",7.07,2,10.978262424469,6.9059716463089,3.02,4.08,5,4,5.38253736495972,5.55406093597412,7.98006534576416,7.70689868927002,1,1
"8","the","en",1,9,"the",1.68156027793884,4.46458101272583,7.18226146697998,"the",251.763157894737,147.684210526316,135.421052631579,"taint_none",7.73,3,2.48240256309509,10.978262424469,7.07,3.02,2,5,5.486647605896,5.38253736495972,7.90455770492554,7.98006534576416,1,1
"9","god","en",1,10,"god",2.87224721908569,5.61101198196411,7.60200500488281,"god",271.131578947368,158.394736842105,146.263157894737,"taint_none",5.57,3,1.68156027793884,2.48240256309509,7.73,7.07,3,2,4.46458101272583,5.486647605896,7.18226146697998,7.90455770492554,1,1
"10","of","en",1,11,"of",0.24004277586937,1.5588903427124,5.94206094741821,"of",142.973684210526,115.473684210526,109.973684210526,"taint_none",7.4,2,2.87224721908569,1.68156027793884,5.57,7.73,3,3,5.61101198196411,4.46458101272583,7.60200500488281,7.18226146697998,1,1
"11","beginnings","en",1,12,"beginnings",13.7822496891022,5.23543071746826,7.83559608459473,"beginnings",676.315789473684,321.894736842105,223.394736842105,"taint_none",3.64,10,0.24004277586937,2.87224721908569,7.4,5.57,2,3,1.5588903427124,5.61101198196411,5.94206094741821,7.60200500488281,1,1
"12","and","en",1,13,"and",1.28029322624207,2.96739172935486,6.337317943573,"and",128.210526315789,87.7105263157895,74.2631578947368,"taint_none",7.41,3,13.7822496891022,0.24004277586937,3.64,7.4,10,2,5.23543071746826,1.5588903427124,7.83559608459473,5.94206094741821,1,1
"13","gates","en",1,14,"gates.",10.0385745763779,6.34883117675781,8.03563213348389,"gates.",446.184210526316,307.289473684211,224.421052631579,"taint_none",4.3,5,1.28029322624207,13.7822496891022,7.41,3.64,3,10,2.96739172935486,5.23543071746826,6.337317943573,7.83559608459473,1,1
"14","He","en",1,15,"He",2.53509330749512,4.30373001098633,7.03210687637329,"He",118.473684210526,96.0526315789474,96.0526315789474,"taint_none",6.69,2,10.0385745763779,1.28029322624207,4.3,7.41,5,3,6.34883117675781,2.96739172935486,8.03563213348389,6.337317943573,1,1
"15","has","en",1,16,"has",3.09534859657288,3.76536965370178,6.96329498291016,"has",238.157894736842,160.578947368421,150.210526315789,"taint_none",6.37,3,2.53509330749512,10.0385745763779,6.69,4.3,2,5,4.30373001098633,6.34883117675781,7.03210687637329,8.03563213348389,1,1
"16","a","en",1,17,"a",2.43564176559448,4.84100437164307,7.31758832931519,"a",97.8947368421053,81.1578947368421,81.1578947368421,"taint_none",7.36,1,3.09534859657288,2.53509330749512,6.37,6.69,3,2,3.76536965370178,4.30373001098633,6.96329498291016,7.03210687637329,1,1
"17","double","en",1,18,"double",6.94929695129395,6.56614875793457,8.05057621002197,"double",246.684210526316,164.026315789474,143.526315789474,"taint_none",5.01,6,2.43564176559448,3.09534859657288,7.36,6.37,1,3,4.84100437164307,3.76536965370178,7.31758832931519,6.96329498291016,1,1
"18","nature","en",1,19,"nature",7.44993829727173,6.47471618652344,8.04306793212891,"nature",303.157894736842,195.894736842105,165.052631578947,"taint_none",4.98,6,6.94929695129395,2.43564176559448,5.01,7.36,6,1,6.56614875793457,4.84100437164307,8.05057621002197,7.31758832931519,1,1
"19","and","en",1,20,"and",2.05204772949219,3.45689392089844,6.50602865219116,"and",203.842105263158,153.131578947368,146.868421052632,"taint_none",7.41,3,7.44993829727173,6.94929695129395,4.98,5.01,6,6,6.47471618652344,6.56614875793457,8.04306793212891,8.05057621002197,1,1
"20","is","en",1,21,"is",1.88836908340454,5.54218149185181,7.81740856170654,"is",222.973684210526,131.026315789474,111.473684210526,"taint_none",7.07,2,2.05204772949219,7.44993829727173,7.41,4.98,3,6,3.45689392089844,6.47471618652344,6.50602865219116,8.04306793212891,1,1
"21","usually","en",1,22,"usually",5.36040019989014,5.48776149749756,7.47845077514648,"usually",359.394736842105,281.842105263158,226.210526315789,"taint_none",5.15,7,1.88836908340454,2.05204772949219,7.07,7.41,2,3,5.54218149185181,3.45689392089844,7.81740856170654,6.50602865219116,1,1
"22","depicted","en",1,23,"depicted",1.8821017742157,5.16899108886719,7.33220195770264,"depicted",429.921052631579,214.789473684211,171.710526315789,"taint_none",3.77,8,5.36040019989014,1.88836908340454,5.15,7.07,7,2,5.48776149749756,5.54218149185181,7.47845077514648,7.81740856170654,1,1
"23","as","en",1,24,"as",1.22233533859253,3.36469459533691,6.66311693191528,"as",173.315789473684,129.105263157895,126.315789473684,"taint_none",6.77,2,1.8821017742157,5.36040019989014,3.77,5.15,8,7,5.16899108886719,5.48776149749756,7.33220195770264,7.47845077514648,1,1
"24","having","en",1,25,"having",3.91082239151001,3.55168914794922,7.20494031906128,"having",412.473684210526,274.973684210526,208.657894736842,"taint_none",5.59,6,1.22233533859253,1.8821017742157,6.77,3.77,2,8,3.36469459533691,5.16899108886719,6.66311693191528,7.33220195770264,1,1
"25","two","en",1,26,"two",3.90728878974915,5.10000371932983,7.68714284896851,"two",225.210526315789,194.078947368421,176.526315789474,"taint_none",6.1,3,3.91082239151001,1.22233533859253,5.59,6.77,6,2,3.55168914794922,3.36469459533691,7.20494031906128,6.66311693191528,1,1
"26","faces","en",1,27,"faces,",5.79490494728088,6.67597675323486,8.02514743804932,"faces,",229.552631578947,205.631578947368,169.894736842105,"taint_none",4.59,5,3.90728878974915,3.91082239151001,6.1,5.59,3,6,5.10000371932983,3.55168914794922,7.68714284896851,7.20494031906128,1,1
"27","since","en",1,28,"since",8.50871276855469,4.7679615020752,7.38195133209229,"since",399.421052631579,231.263157894737,197.342105263158,"taint_none",5.75,5,5.79490494728088,3.90728878974915,4.59,6.1,5,3,6.67597675323486,5.10000371932983,8.02514743804932,7.68714284896851,1,1
"28","he","en",1,29,"he",1.30537474155426,3.82470846176147,7.05433893203735,"he",120.763157894737,100.315789473684,92.9736842105263,"taint_none",6.69,2,8.50871276855469,5.79490494728088,5.75,4.59,5,5,4.7679615020752,6.67597675323486,7.38195133209229,8.02514743804932,1,1
"29","looks","en",1,30,"looks",7.05989217758179,3.75130009651184,6.67188501358032,"looks",291.736842105263,227.447368421053,186.263157894737,"taint_none",5.36,5,1.30537474155426,8.50871276855469,6.69,5.75,2,5,3.82470846176147,4.7679615020752,7.05433893203735,7.38195133209229,1,1
"30","to","en",1,31,"to",3.48248767852783,4.29537773132324,6.73796081542969,"to",129,118.789473684211,118.789473684211,"taint_none",7.43,2,7.05989217758179,1.30537474155426,5.36,6.69,5,2,3.75130009651184,3.82470846176147,6.67188501358032,7.05433893203735,1,1
