"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","der","ge",1,2,"der",0.980378031730652,3.93960523605347,7.68578338623047,"der",379.428571428571,237.885714285714,180.771428571429,"taint_none",7.46,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","alten","ge",1,3,"alten",6.86654663085938,6.26129341125488,8.2641077041626,"alten",507.685714285714,243.828571428571,157.685714285714,"taint_none",5.31,5,0.980378031730652,NA,7.46,NA,3,NA,3.93960523605347,NA,7.68578338623047,NA,1,NA
"3","römischen","ge",1,4,"römischen",4.55379152297974,6.34166812896729,8.17580509185791,"römischen",644.514285714286,247.685714285714,179.057142857143,"taint_none",4.32,9,6.86654663085938,0.980378031730652,5.31,7.46,5,3,6.26129341125488,3.93960523605347,8.2641077041626,7.68578338623047,1,1
"4","Religion","ge",1,5,"Religion",5.62367296218872,4.17764568328857,6.83712148666382,"Religion",711.114285714286,352.828571428571,245.571428571429,"taint_none",4.71,8,4.55379152297974,6.86654663085938,4.32,5.31,9,5,6.34166812896729,6.26129341125488,8.17580509185791,8.2641077041626,1,1
"5","und","ge",1,6,"und",4.19857501983643,4.91225242614746,7.08183813095093,"und",120.885714285714,105.685714285714,98.7142857142857,"taint_none",7.42,3,5.62367296218872,4.55379152297974,4.71,4.32,8,9,4.17764568328857,6.34166812896729,6.83712148666382,8.17580509185791,1,1
"6","Mythologie","ge",1,7,"Mythologie",4.36811065673828,4.66228675842285,7.33591985702515,"Mythologie",677.742857142857,328.2,239.857142857143,"taint_none",3.58,10,4.19857501983643,5.62367296218872,7.42,4.71,3,8,4.91225242614746,4.17764568328857,7.08183813095093,6.83712148666382,1,1
"7","ist","ge",1,8,"ist",1.93766283988953,4.19818830490112,6.60938739776611,"ist",325.857142857143,202.4,190.6,"taint_none",7.08,3,4.36811065673828,4.19857501983643,3.58,7.42,10,3,4.66228675842285,4.91225242614746,7.33591985702515,7.08183813095093,1,1
"8","Janus","ge",1,9,"Janus",10.7620882987976,4.27062702178955,7.32924461364746,"Janus",588.485714285714,335.542857142857,216,"taint_none",3.09,5,1.93766283988953,4.36811065673828,7.08,3.58,3,10,4.19818830490112,4.66228675842285,6.60938739776611,7.33591985702515,1,1
"9","der","ge",1,10,"der",2.67455291748047,5.12948369979858,7.76719236373901,"der",271.142857142857,201.371428571429,182.485714285714,"taint_none",7.46,3,10.7620882987976,1.93766283988953,3.09,7.08,5,3,4.27062702178955,4.19818830490112,7.32924461364746,6.60938739776611,1,1
"10","Gott","ge",1,11,"Gott",3.12627124786377,5.74881649017334,7.7056622505188,"Gott",345.657142857143,226.285714285714,192.542857142857,"taint_none",5.26,4,2.67455291748047,10.7620882987976,7.46,3.09,3,5,5.12948369979858,4.27062702178955,7.76719236373901,7.32924461364746,1,1
"11","des","ge",1,12,"des",2.51647710800171,3.61754179000854,6.95431804656982,"des",372.885714285714,185.857142857143,161.914285714286,"taint_none",6.74,3,3.12627124786377,2.67455291748047,5.26,7.46,4,3,5.74881649017334,5.12948369979858,7.7056622505188,7.76719236373901,1,1
"12","Anfangs","ge",1,13,"Anfangs",8.4903621673584,6.75309944152832,8.10565948486328,"Anfangs",709.571428571429,343.371428571429,235.228571428571,"taint_none",4.5,7,2.51647710800171,3.12627124786377,6.74,5.26,3,4,3.61754179000854,5.74881649017334,6.95431804656982,7.7056622505188,1,1
"13","und","ge",1,14,"und",2.08408975601196,4.09807586669922,7.17269134521484,"und",197.771428571429,138,138,"taint_none",7.42,3,8.4903621673584,2.51647710800171,4.5,6.74,7,3,6.75309944152832,3.61754179000854,8.10565948486328,6.95431804656982,1,1
"14","der","ge",1,15,"der",2.2681782245636,5.8179349899292,7.66405391693115,"der",356,216.485714285714,200.457142857143,"taint_none",7.46,3,2.08408975601196,8.4903621673584,7.42,4.5,3,7,4.09807586669922,6.75309944152832,7.17269134521484,8.10565948486328,1,1
"15","Tore","ge",1,16,"Tore.",10.9036597013474,6.76912450790405,8.04022312164307,"Tore.",578.657142857143,303.314285714286,279.657142857143,"taint_none",4.54,4,2.2681782245636,2.08408975601196,7.46,7.42,3,3,5.8179349899292,4.09807586669922,7.66405391693115,7.17269134521484,1,1
"16","Er","ge",1,17,"Er",2.13606739044189,4.49290370941162,7.00934600830078,"Er",104.771428571429,88.3714285714286,80.4857142857143,"taint_none",6.71,2,10.9036597013474,2.2681782245636,4.54,7.46,4,3,6.76912450790405,5.8179349899292,8.04022312164307,7.66405391693115,1,1
"17","hat","ge",1,18,"hat",3.73619985580444,4.28320598602295,6.44200944900513,"hat",253.542857142857,204.228571428571,188.228571428571,"taint_none",6.6,3,2.13606739044189,10.9036597013474,6.71,4.54,2,4,4.49290370941162,6.76912450790405,7.00934600830078,8.04022312164307,1,1
"18","eine","ge",1,19,"eine",3.09313988685608,4.5289101600647,7.05147171020508,"eine",292.657142857143,217.2,196.342857142857,"taint_none",6.8,4,3.73619985580444,2.13606739044189,6.6,6.71,3,2,4.28320598602295,4.49290370941162,6.44200944900513,7.00934600830078,1,1
"19","doppelte","ge",1,20,"doppelte",8.1351756863296,6.28118801116943,7.87644910812378,"doppelte",413.828571428571,294.742857142857,189.8,"taint_none",4.15,8,3.09313988685608,3.73619985580444,6.8,6.6,4,3,4.5289101600647,4.28320598602295,7.05147171020508,6.44200944900513,1,1
"20","Natur","ge",1,21,"Natur",6.67237758636475,6.15132617950439,7.80111646652222,"Natur",325.371428571429,227.542857142857,193.085714285714,"taint_none",4.94,5,8.1351756863296,3.09313988685608,4.15,6.8,8,4,6.28118801116943,4.5289101600647,7.87644910812378,7.05147171020508,1,1
"21","und","ge",1,22,"und",2.15949082374573,3.64547038078308,6.52862215042114,"und",166.971428571429,126.485714285714,121.714285714286,"taint_none",7.42,3,6.67237758636475,8.1351756863296,4.94,4.15,5,8,6.15132617950439,6.28118801116943,7.80111646652222,7.87644910812378,1,1
"22","wird","ge",1,23,"wird",4.03313827514648,5.30245590209961,7.51185512542725,"wird",384.714285714286,193.542857142857,183.8,"taint_none",6.5,4,2.15949082374573,6.67237758636475,7.42,4.94,3,5,3.64547038078308,6.15132617950439,6.52862215042114,7.80111646652222,1,1
