"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","ובדת","he",1,2,"ובדת",11.0103569030762,2.12841749191284,5.86580467224121,"ובדת",422.631578947368,210.394736842105,162.763157894737,"taint_none",2.51,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","הרומית","he",1,3,"הרומית",4.98609447479248,5.19265747070312,7.72538900375366,"הרומית",836.5,303.236842105263,207.973684210526,"taint_none",4.08,6,11.0103569030762,NA,2.51,NA,4,NA,2.12841749191284,NA,5.86580467224121,NA,1,NA
"3","העתיקה","he",1,4,"העתיקה,",6.77147912979126,4.82490968704224,7.66706657409668,"העתיקה,",620.210526315789,243.684210526316,218.368421052632,"taint_none",4.69,6,4.98609447479248,11.0103569030762,4.08,2.51,6,4,5.19265747070312,2.12841749191284,7.72538900375366,5.86580467224121,1,1
"4","יאנוס","he",1,5,"יאנוס",10.1571753025055,7.30649185180664,8.68572521209717,"יאנוס",532.552631578947,267.947368421053,219.394736842105,"taint_none",3.14,5,6.77147912979126,4.98609447479248,4.69,4.08,6,6,4.82490968704224,5.19265747070312,7.66706657409668,7.72538900375366,1,1
"5","הוא","he",1,6,"הוא",3.65251016616821,5.3192777633667,7.65939331054688,"הוא",399.157894736842,170.526315789474,159.421052631579,"taint_none",6.88,3,10.1571753025055,6.77147912979126,3.14,4.69,5,6,7.30649185180664,4.82490968704224,8.68572521209717,7.66706657409668,1,1
"6","אל","he",1,7,"אל",3.11770462989807,4.91100597381592,7.35839366912842,"אל",292.447368421053,174,164.315789473684,"taint_none",6.36,2,3.65251016616821,10.1571753025055,6.88,3.14,3,5,5.3192777633667,7.30649185180664,7.65939331054688,8.68572521209717,1,1
"7","ההתחלה","he",1,8,"ההתחלה",11.9713153839111,5.95155811309814,7.90958642959595,"ההתחלה",1154.68421052632,284.342105263158,219.342105263158,"taint_none",4.27,6,3.11770462989807,3.65251016616821,6.36,6.88,2,3,4.91100597381592,5.3192777633667,7.35839366912842,7.65939331054688,1,1
"8","והשערים","he",1,9,"והשערים.",18.8838315010071,3.04000473022461,6.80496692657471,"והשערים.",1268.60526315789,341.447368421053,221.131578947368,"taint_none",2.62,7,11.9713153839111,3.11770462989807,4.27,6.36,6,2,5.95155811309814,4.91100597381592,7.90958642959595,7.35839366912842,1,1
"9","יש","he",1,10,"יש",5.31408977508545,5.58146238327026,7.96243906021118,"יש",83.1842105263158,66.3421052631579,66.3421052631579,"taint_none",6.59,2,18.8838315010071,11.9713153839111,2.62,4.27,7,6,3.04000473022461,5.95155811309814,6.80496692657471,7.90958642959595,1,1
"10","לו","he",1,11,"לו",1.44572234153748,4.53742027282715,7.32589483261108,"לו",266,167,149.394736842105,"taint_none",6.33,2,5.31408977508545,18.8838315010071,6.59,2.62,2,7,5.58146238327026,3.04000473022461,7.96243906021118,6.80496692657471,1,1
"11","טבע","he",1,12,"טבע",8.24026584625244,5.71110868453979,7.75103950500488,"טבע",426.552631578947,212.421052631579,187.447368421053,"taint_none",4.84,3,1.44572234153748,5.31408977508545,6.33,6.59,2,2,4.53742027282715,5.58146238327026,7.32589483261108,7.96243906021118,1,1
"12","כפול","he",1,13,"כפול",8.13105487823486,5.60315990447998,7.72561407089233,"כפול",552.657894736842,309.921052631579,254.657894736842,"taint_none",4.64,4,8.24026584625244,1.44572234153748,4.84,6.33,3,2,5.71110868453979,4.53742027282715,7.75103950500488,7.32589483261108,1,1
"13","והוא","he",1,14,"והוא",3.12416124343872,4.1309666633606,7.19027853012085,"והוא",186.026315789474,132.157894736842,128.736842105263,"taint_none",5.73,4,8.13105487823486,8.24026584625244,4.64,4.84,4,3,5.60315990447998,5.71110868453979,7.72561407089233,7.75103950500488,1,1
"14","מוצג","he",1,15,"מוצג",6.86977958679199,6.65037775039673,8.12002849578857,"מוצג",599.263157894737,302.947368421053,215.026315789474,"taint_none",4.03,4,3.12416124343872,8.13105487823486,5.73,4.64,4,4,4.1309666633606,5.60315990447998,7.19027853012085,7.72561407089233,1,1
"15","בדרך","he",1,16,"בדרך",4.31435298919678,4.75094604492188,7.09861087799072,"בדרך",250.078947368421,137.236842105263,126.315789473684,"taint_none",5.69,4,6.86977958679199,3.12416124343872,4.03,5.73,4,4,6.65037775039673,4.1309666633606,8.12002849578857,7.19027853012085,1,1
"16","כלל","he",1,17,"כלל",0.122499577701092,0.75416362285614,5.29592657089233,"כלל",309.763157894737,206.5,200.5,"taint_none",5.66,3,4.31435298919678,6.86977958679199,5.69,4.03,4,4,4.75094604492188,6.65037775039673,7.09861087799072,8.12002849578857,1,1
"17","כבעל","he",1,18,"כבעל",3.7227349281311,4.2444372177124,7.03190946578979,"כבעל",410.078947368421,234.710526315789,178.684210526316,"taint_none",3.98,4,0.122499577701092,4.31435298919678,5.66,5.69,3,4,0.75416362285614,4.75094604492188,5.29592657089233,7.09861087799072,1,1
"18","שני","he",1,19,"שני",5.18404769897461,5.62615633010864,7.5915093421936,"שני",324.921052631579,231.526315789474,194.052631578947,"taint_none",5.97,3,3.7227349281311,0.122499577701092,3.98,5.66,4,3,4.2444372177124,0.75416362285614,7.03190946578979,5.29592657089233,1,1
"19","פנים","he",1,20,"פנים,",6.37966537475586,5.76934432983398,7.61089849472046,"פנים,",340.026315789474,272.263157894737,212.657894736842,"taint_none",5.32,4,5.18404769897461,3.7227349281311,5.97,3.98,3,4,5.62615633010864,4.2444372177124,7.5915093421936,7.03190946578979,1,1
"20","כיוון","he",1,21,"כיוון",6.41992092132568,6.27245759963989,8.06539821624756,"כיוון",422.631578947368,172.421052631579,145.921052631579,"taint_none",5.06,5,6.37966537475586,5.18404769897461,5.32,5.97,4,3,5.76934432983398,5.62615633010864,7.61089849472046,7.5915093421936,1,1
"21","שהוא","he",1,22,"שהוא",1.32774198055267,4.07090377807617,7.03608274459839,"שהוא",271.605263157895,168.157894736842,159.289473684211,"taint_none",6.21,4,6.41992092132568,6.37966537475586,5.06,5.32,5,4,6.27245759963989,5.76934432983398,8.06539821624756,7.61089849472046,1,1
"22","מסתכל","he",1,23,"מסתכל",8.23718333244324,6.34415054321289,7.85157442092896,"מסתכל",391.5,252.315789473684,210.526315789474,"taint_none",4.6,5,1.32774198055267,6.41992092132568,6.21,5.06,4,5,4.07090377807617,6.27245759963989,7.03608274459839,8.06539821624756,1,1
"23","אל","he",1,24,"אל",2.98224663734436,3.54175567626953,6.68487167358398,"אל",62.6578947368421,51.4736842105263,46.6578947368421,"taint_none",6.36,2,8.23718333244324,1.32774198055267,4.6,6.21,5,4,6.34415054321289,4.07090377807617,7.85157442092896,7.03608274459839,1,1
"24","העתיד","he",1,25,"העתיד",6.27066612243652,5.68932342529297,7.92134141921997,"העתיד",346.657894736842,224.710526315789,206.868421052632,"taint_none",4.7,5,2.98224663734436,8.23718333244324,6.36,4.6,2,5,3.54175567626953,6.34415054321289,6.68487167358398,7.85157442092896,1,1
"25","ואל","he",1,26,"ואל",4.85161972045898,3.93859148025513,6.93129873275757,"ואל",110.026315789474,91.9210526315789,87.5789473684211,"taint_none",4.93,3,6.27066612243652,2.98224663734436,4.7,6.36,5,2,5.68932342529297,3.54175567626953,7.92134141921997,6.68487167358398,1,1
"26","העבר","he",1,27,"העבר.",3.24548465013504,4.65128040313721,7.58599519729614,"העבר.",404.815789473684,271.210526315789,207.394736842105,"taint_none",4.8,4,4.85161972045898,6.27066612243652,4.93,4.7,3,5,3.93859148025513,5.68932342529297,6.93129873275757,7.92134141921997,1,1
"27","יאנוס","he",1,28,"יאנוס",3.67248196108267,5.78019237518311,8.03037738800049,"יאנוס",297.947368421053,219.947368421053,186.736842105263,"taint_none",3.14,5,3.24548465013504,4.85161972045898,4.8,4.93,4,3,4.65128040313721,3.93859148025513,7.58599519729614,6.93129873275757,1,1
"28","היה","he",1,29,"היה",3.20669221878052,4.88978290557861,7.34289741516113,"היה",215.736842105263,137.026315789474,137.026315789474,"taint_none",6.6,3,3.67248196108267,3.24548465013504,3.14,4.8,5,4,5.78019237518311,4.65128040313721,8.03037738800049,7.58599519729614,1,1
"29","אחראי","he",1,30,"אחראי",5.15453577041626,4.14829778671265,7.13412523269653,"אחראי",378.842105263158,280.684210526316,213.368421052632,"taint_none",4.84,5,3.20669221878052,3.67248196108267,6.6,3.14,3,5,4.88978290557861,5.78019237518311,7.34289741516113,8.03037738800049,1,1
"30","על","he",1,31,"על",0.552159905433655,2.91475772857666,6.73336410522461,"על",72.9736842105263,53.0526315789474,51.3684210526316,"taint_none",7.15,2,5.15453577041626,3.20669221878052,4.84,6.6,5,3,4.14829778671265,4.88978290557861,7.13412523269653,7.34289741516113,1,1
"31","תחילתם","he",1,32,"תחילתם",11.9778666496277,6.58098602294922,8.22648048400879,"תחילתם",436.842105263158,329.5,218.315789473684,"taint_none",2.78,6,0.552159905433655,5.15453577041626,7.15,4.84,2,5,2.91475772857666,4.14829778671265,6.73336410522461,7.13412523269653,1,1
