"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","antichi","it",1,2,"antichi",7.62836933135986,1.52847135066986,5.25369930267334,"antichi",572.023255813953,279.93023255814,180.023255813953,"taint_none",4.46,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","miti","it",1,3,"miti",5.60799980163574,4.77138614654541,7.40392780303955,"miti",499.53488372093,230.116279069767,196.046511627907,"taint_none",4.03,4,7.62836933135986,NA,4.46,NA,7,NA,1.52847135066986,NA,5.25369930267334,NA,1,NA
"3","e","it",1,4,"e",3.08676147460938,4.44672918319702,7.15631198883057,"e",116.372093023256,76.9302325581395,73.953488372093,"taint_none",7.46,1,5.60799980163574,7.62836933135986,4.03,4.46,4,7,4.77138614654541,1.52847135066986,7.40392780303955,5.25369930267334,1,1
"4","religioni","it",1,5,"religioni",6.20379781723022,3.56272792816162,7.13461542129517,"religioni",887.348837209302,326.116279069767,221.790697674419,"taint_none",4.18,9,3.08676147460938,5.60799980163574,7.46,4.03,1,4,4.44672918319702,4.77138614654541,7.15631198883057,7.40392780303955,1,1
"5","Romane","it",1,6,"Romane,",13.0425198078156,4.22782135009766,7.09851408004761,"Romane,",599.418604651163,249.441860465116,205.488372093023,"taint_none",3.95,6,6.20379781723022,3.08676147460938,4.18,7.46,9,1,3.56272792816162,4.44672918319702,7.13461542129517,7.15631198883057,1,1
"6","Giano","it",1,7,"Giano",11.766951084137,5.47800636291504,7.86014032363892,"Giano",589.604651162791,342.883720930233,261.813953488372,"taint_none",3.09,5,13.0425198078156,6.20379781723022,3.95,4.18,6,9,4.22782135009766,3.56272792816162,7.09851408004761,7.13461542129517,1,1
"7","è","it",1,8,"è",2.62301349639893,5.01562309265137,7.56255960464478,"è",101.906976744186,71.8604651162791,71.8604651162791,"taint_none",7.1,1,11.766951084137,13.0425198078156,3.09,3.95,5,6,5.47800636291504,4.22782135009766,7.86014032363892,7.09851408004761,1,1
"8","il","it",1,9,"il",2.36411023139954,4.49460029602051,6.98737621307373,"il",226.06976744186,138.651162790698,138.651162790698,"taint_none",7.32,2,2.62301349639893,11.766951084137,7.1,3.09,1,5,5.01562309265137,5.47800636291504,7.56255960464478,7.86014032363892,1,1
"9","dio","it",1,10,"dio",4.76537653058767,4.62682437896729,7.11499929428101,"dio",256.720930232558,177.395348837209,174.906976744186,"taint_none",5.46,3,2.36411023139954,2.62301349639893,7.32,7.1,2,1,4.49460029602051,5.01562309265137,6.98737621307373,7.56255960464478,1,1
"10","degli","it",1,11,"degli",3.90475463867188,4.08756446838379,6.96735334396362,"degli",507.53488372093,224.860465116279,191.46511627907,"taint_none",6.14,5,4.76537653058767,2.36411023139954,5.46,7.32,3,2,4.62682437896729,4.49460029602051,7.11499929428101,6.98737621307373,1,1
