"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","las","sp",1,2,"las",3.71809077262878,4.76214933395386,7.36010408401489,"las",359.026315789474,204.894736842105,183.631578947368,"taint_none",6.99,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","antiguas","sp",1,3,"antiguas",6.98888492584229,4.51936388015747,7.29834079742432,"antiguas",1115.31578947368,217.368421052632,173.894736842105,"taint_none",4.29,8,3.71809077262878,NA,6.99,NA,3,NA,4.76214933395386,NA,7.36010408401489,NA,1,NA
"3","mitología","sp",1,4,"mitología",5.73496341705322,5.45445251464844,7.65347623825073,"mitología",1074.92105263158,312.315789473684,200.236842105263,"taint_none",3.62,9,6.98888492584229,3.71809077262878,4.29,6.99,8,3,4.51936388015747,4.76214933395386,7.29834079742432,7.36010408401489,1,1
"4","y","sp",1,5,"y",7.97240686416626,0.332013666629791,3.74139523506165,"y",98.4736842105263,84.2631578947368,84.2631578947368,"taint_none",7.44,1,5.73496341705322,6.98888492584229,3.62,4.29,9,8,5.45445251464844,4.51936388015747,7.65347623825073,7.29834079742432,1,1
"5","religión","sp",1,6,"religión",4.07426691055298,3.3379602432251,6.81016063690186,"religión",793.973684210526,292.789473684211,215.973684210526,"taint_none",4.67,8,7.97240686416626,5.73496341705322,7.44,3.62,1,9,0.332013666629791,5.45445251464844,3.74139523506165,7.65347623825073,1,1
"6","romana","sp",1,7,"romana,",4.15720909833908,4.35268449783325,7.03149795532227,"romana,",577.289473684211,308.026315789474,223.921052631579,"taint_none",3.99,6,4.07426691055298,7.97240686416626,4.67,7.44,8,1,3.3379602432251,0.332013666629791,6.81016063690186,3.74139523506165,1,1
"7","Jano","sp",1,8,"Jano",12.0582299232483,5.29013586044312,7.72210645675659,"Jano",333.026315789474,243.789473684211,215.657894736842,"taint_none",2.75,4,4.15720909833908,4.07426691055298,3.99,4.67,6,8,4.35268449783325,3.3379602432251,7.03149795532227,6.81016063690186,1,1
"8","es","sp",1,9,"es",3.35761499404907,5.70934152603149,7.96951818466187,"es",254.078947368421,162.394736842105,154.026315789474,"taint_none",7.02,2,12.0582299232483,4.15720909833908,2.75,3.99,4,6,5.29013586044312,4.35268449783325,7.72210645675659,7.03149795532227,1,1
"9","el","sp",1,10,"el",1.26211071014404,3.22292113304138,6.56131887435913,"el",267.763157894737,177.526315789474,150.526315789474,"taint_none",7.45,2,3.35761499404907,12.0582299232483,7.02,2.75,2,4,5.70934152603149,5.29013586044312,7.96951818466187,7.72210645675659,1,1
"10","dios","sp",1,11,"dios",2.33521318435669,4.41584920883179,6.9166145324707,"dios",265.184210526316,150.447368421053,129.421052631579,"taint_none",5.61,4,1.26211071014404,3.35761499404907,7.45,7.02,2,2,3.22292113304138,5.70934152603149,6.56131887435913,7.96951818466187,1,1
"11","de","sp",1,12,"de",1.46485495567322,3.8191351890564,6.83143043518066,"de",70.8947368421053,59.2631578947368,59.2631578947368,"taint_none",7.81,2,2.33521318435669,1.26211071014404,5.61,7.45,4,2,4.41584920883179,3.22292113304138,6.9166145324707,6.56131887435913,1,1
"12","los","sp",1,13,"los",2.00564169883728,1.73529839515686,6.07153654098511,"los",198.973684210526,153.421052631579,143.105263157895,"taint_none",7.18,3,1.46485495567322,2.33521318435669,7.81,5.61,2,4,3.8191351890564,4.41584920883179,6.83143043518066,6.9166145324707,1,1
"13","comienzos","sp",1,14,"comienzos",10.9205055236816,5.5779972076416,7.63614845275879,"comienzos",593.078947368421,266.736842105263,200.789473684211,"taint_none",4.3,9,2.00564169883728,1.46485495567322,7.18,7.81,3,2,1.73529839515686,3.8191351890564,6.07153654098511,6.83143043518066,1,1
"14","y","sp",1,15,"y",3.01960134506226,1.50709640979767,4.92571449279785,"y",36.2894736842105,36.2894736842105,31.5789473684211,"taint_none",7.44,1,10.9205055236816,2.00564169883728,4.3,7.18,9,3,5.5779972076416,1.73529839515686,7.63614845275879,6.07153654098511,1,1
"15","las","sp",1,16,"las",3.24344348907471,4.37327003479004,7.37038564682007,"las",219.973684210526,146.763157894737,136.736842105263,"taint_none",6.99,3,3.01960134506226,10.9205055236816,7.44,4.3,1,9,1.50709640979767,5.5779972076416,4.92571449279785,7.63614845275879,1,1
"16","puertas","sp",1,17,"puertas,",10.8379521369934,5.85661697387695,7.58225870132446,"puertas,",717.289473684211,388.289473684211,205.315789473684,"taint_none",4.72,7,3.24344348907471,3.01960134506226,6.99,7.44,3,1,4.37327003479004,1.50709640979767,7.37038564682007,4.92571449279785,1,1
"17","Él","sp",1,18,"Él",11.4142475128174,5.27754402160645,7.69323015213013,"Él",119.578947368421,96.1315789473684,86.8684210526316,"taint_none",5.76,2,10.8379521369934,3.24344348907471,4.72,6.99,7,3,5.85661697387695,4.37327003479004,7.58225870132446,7.37038564682007,1,1
"18","tiene","sp",1,19,"tiene",3.63498544692993,3.68655061721802,7.04852390289307,"tiene",446.710526315789,265.263157894737,208.5,"taint_none",6.15,5,11.4142475128174,10.8379521369934,5.76,4.72,2,7,5.27754402160645,5.85661697387695,7.69323015213013,7.58225870132446,1,1
"19","una","sp",1,20,"una",1.99267029762268,3.74472379684448,6.6190299987793,"una",299.736842105263,207.815789473684,204.736842105263,"taint_none",6.95,3,3.63498544692993,11.4142475128174,6.15,5.76,5,2,3.68655061721802,5.27754402160645,7.04852390289307,7.69323015213013,1,1
"20","doble","sp",1,21,"doble",6.22322511672974,5.79174709320068,7.42102432250977,"doble",364.157894736842,221.315789473684,165.315789473684,"taint_none",4.89,5,1.99267029762268,3.63498544692993,6.95,6.15,3,5,3.74472379684448,3.68655061721802,6.6190299987793,7.04852390289307,1,1
"21","naturaleza","sp",1,22,"naturaleza,",4.05460596084595,5.30386734008789,7.23358011245728,"naturaleza,",639.947368421053,419.210526315789,184.578947368421,"taint_none",4.92,10,6.22322511672974,1.99267029762268,4.89,6.95,5,3,5.79174709320068,3.74472379684448,7.42102432250977,6.6190299987793,1,1
"22","y","sp",1,23,"y",2.03293991088867,5.12938404083252,7.61187648773193,"y",49.2894736842105,45.9473684210526,41.5,"taint_none",7.44,1,4.05460596084595,6.22322511672974,4.92,4.89,10,5,5.30386734008789,5.79174709320068,7.23358011245728,7.42102432250977,1,1
"23","generalmente","sp",1,24,"generalmente",7.70881462097168,4.87979459762573,7.29877662658691,"generalmente",688.078947368421,363.552631578947,227.842105263158,"taint_none",4.7,12,2.03293991088867,4.05460596084595,7.44,4.92,1,10,5.12938404083252,5.30386734008789,7.61187648773193,7.23358011245728,1,1
"24","se","sp",1,25,"se",1.67804789543152,4.31526851654053,6.9325270652771,"se",88.2105263157895,78.9473684210526,78.9473684210526,"taint_none",7.06,2,7.70881462097168,2.03293991088867,4.7,7.44,12,1,4.87979459762573,5.12938404083252,7.29877662658691,7.61187648773193,1,1
"25","lo","sp",1,26,"lo",3.40104961395264,4.92570018768311,6.74107027053833,"lo",191.710526315789,135.868421052632,128.315789473684,"taint_none",6.89,2,1.67804789543152,7.70881462097168,7.06,4.7,2,12,4.31526851654053,4.87979459762573,6.9325270652771,7.29877662658691,1,1
"26","representa","sp",1,27,"representa",1.44705176353455,4.03735494613647,6.23217010498047,"representa",643.394736842105,321.947368421053,201.526315789474,"taint_none",4.79,10,3.40104961395264,1.67804789543152,6.89,7.06,2,2,4.92570018768311,4.31526851654053,6.74107027053833,6.9325270652771,1,1
"27","con","sp",1,28,"con",1.59544324874878,2.00747156143188,5.54054403305054,"con",123.289473684211,117.236842105263,101.763157894737,"taint_none",6.97,3,1.44705176353455,3.40104961395264,4.79,6.89,10,2,4.03735494613647,4.92570018768311,6.23217010498047,6.74107027053833,1,1
"28","dos","sp",1,29,"dos",4.59408473968506,4.18344116210938,7.118239402771,"dos",328.657894736842,227.947368421053,203.368421052632,"taint_none",6.12,3,1.59544324874878,1.44705176353455,6.97,4.79,3,10,2.00747156143188,4.03735494613647,5.54054403305054,6.23217010498047,1,1
"29","caras","sp",1,30,"caras,",5.51417136192322,5.07040405273438,7.29301691055298,"caras,",390.736842105263,238.210526315789,203.394736842105,"taint_none",4.42,5,4.59408473968506,1.59544324874878,6.12,6.97,3,3,4.18344116210938,2.00747156143188,7.118239402771,5.54054403305054,1,1
"30","ya","sp",1,31,"ya",6.85235261917114,3.78563117980957,6.87474918365479,"ya",104.315789473684,94.7368421052632,94.7368421052632,"taint_none",6.33,2,5.51417136192322,4.59408473968506,4.42,6.12,5,3,5.07040405273438,4.18344116210938,7.29301691055298,7.118239402771,1,1
"31","que","sp",1,32,"que",0.499451339244843,1.65600323677063,5.79044246673584,"que",239.526315789474,185,170.736842105263,"taint_none",7.52,3,6.85235261917114,5.51417136192322,6.33,4.42,2,5,3.78563117980957,5.07040405273438,6.87474918365479,7.29301691055298,1,1
"32","él","sp",1,33,"él",3.69548201560974,4.66287803649902,7.03161954879761,"él",212.078947368421,168.789473684211,158.578947368421,"taint_none",5.76,2,0.499451339244843,6.85235261917114,7.52,6.33,3,2,1.65600323677063,3.78563117980957,5.79044246673584,6.87474918365479,1,1
"33","mira","sp",1,34,"mira",7.65215396881104,3.90713238716125,6.38720273971558,"mira",344.605263157895,228.894736842105,206.078947368421,"taint_none",5.19,4,3.69548201560974,0.499451339244843,5.76,7.52,2,3,4.66287803649902,1.65600323677063,7.03161954879761,5.79044246673584,1,1
