"","clean_word","lang","sample_id","word_id","word.x","surp","shannon","renyi","word.y","total_rt","gaze_rt","firstfix_rt","model","freq","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_shannon","prev2_shannon","prev_renyi","prev2_renyi","prev_sample","prev2_sample"
"1","Roma","tr",1,2,"Roma",2.31992673873901,4.06119346618652,7.00097131729126,"Roma",369.75,161.708333333333,134.75,"taint_none",4.67,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","inanışlarında","tr",1,3,"inanışlarında",11.005838394165,4.40212440490723,7.1951150894165,"inanışlarında",1164.25,621.5,212.416666666667,"taint_none",0,13,2.31992673873901,NA,4.67,NA,4,NA,4.06119346618652,NA,7.00097131729126,NA,1,NA
"3","ve","tr",1,4,"ve",3.38724589347839,6.4443621635437,8.37168025970459,"ve",172.833333333333,137.416666666667,132.791666666667,"taint_none",7.37,2,11.005838394165,2.31992673873901,0,4.67,13,4,4.40212440490723,4.06119346618652,7.1951150894165,7.00097131729126,1,1
"4","mitlerinde","tr",1,5,"mitlerinde,",13.6899938583374,6.14390659332275,8.01605987548828,"mitlerinde,",1095.08333333333,448.583333333333,254.083333333333,"taint_none",0,10,3.38724589347839,11.005838394165,7.37,0,2,13,6.4443621635437,4.40212440490723,8.37168025970459,7.1951150894165,1,1
"5","Janus","tr",1,6,"Janus",10.2892909348011,7.23517322540283,8.63131141662598,"Janus",568.583333333333,223.291666666667,196.166666666667,"taint_none",3.01,5,13.6899938583374,3.38724589347839,0,7.37,10,2,6.14390659332275,6.4443621635437,8.01605987548828,8.37168025970459,1,1
"6","başlangıçların","tr",1,7,"başlangıçların",19.5223245620728,4.35709190368652,7.58999967575073,"başlangıçların",1606.33333333333,493.166666666667,198.958333333333,"taint_none",0,14,10.2892909348011,13.6899938583374,3.01,0,5,10,7.23517322540283,6.14390659332275,8.63131141662598,8.01605987548828,1,1
"7","ve","tr",1,8,"ve",3.00056219100952,6.75792217254639,8.35891723632812,"ve",148.458333333333,116.833333333333,116.833333333333,"taint_none",7.37,2,19.5223245620728,10.2892909348011,0,3.01,14,5,4.35709190368652,7.23517322540283,7.58999967575073,8.63131141662598,1,1
"8","kapıların","tr",1,9,"kapıların",10.9166640043259,6.71067142486572,8.36749839782715,"kapıların",924.75,371.208333333333,214.75,"taint_none",3.56,9,3.00056219100952,19.5223245620728,7.37,0,2,14,6.75792217254639,4.35709190368652,8.35891723632812,7.58999967575073,1,1
"9","tanrısıdır","tr",1,10,"tanrısıdır.",6.93164506554604,7.04492950439453,8.41969585418701,"tanrısıdır.",856.458333333333,455.458333333333,248.916666666667,"taint_none",0,10,10.9166640043259,3.00056219100952,3.56,7.37,9,2,6.71067142486572,6.75792217254639,8.36749839782715,8.35891723632812,1,1
"10","Onun","tr",1,11,"Onun",5.3945460319519,5.0642147064209,7.56538677215576,"Onun",323.541666666667,277.791666666667,168.5,"taint_none",5.7,4,6.93164506554604,10.9166640043259,0,3.56,10,9,7.04492950439453,6.71067142486572,8.41969585418701,8.36749839782715,1,1
